x0000,y0000
400.,0.7307500348
400.7007007007,0.6077982263
401.4014014014,0.4189357479
402.1021021021,0.8765177412
402.8028028028,0.0759665345
403.5035035035,0.0508016783
404.2042042042,0.228359375
404.9049049049,0.3632519797
405.6056056056,0.827403412
406.3063063063,0.2860549852
407.0070070070,0.3514547991
407.7077077077,0.1265879262
408.4084084084,0.082748247
409.1091091091,0.7027322934
409.8098098098,0.0964433856
410.5105105105,0.0663290979
411.2112112112,0.7923275861
411.9119119119,0.0164580627
412.6126126126,0.1237301271
413.3133133133,0.4779589280
414.0140140140,0.4349871171
414.7147147147,0.4842284249
415.4154154154,0.2015218965
416.1161161161,0.9670910906
416.8168168168,0.5009212564
417.5175175175,0.5122893637
418.2182182182,0.9012488991
418.9189189189,0.1606221870
419.6196196196,0.1457346328
420.3203203203,0.3980356578
421.0210210210,0.3424623103
421.7217217217,0.6967055857
422.4224224224,0.1210589695
423.1231231231,0.2515775304
423.8238238238,0.4861011966
424.5245245245,0.0407415302
425.2252252252,0.1084390263
425.9259259259,0.7787967381
426.6266266266,0.4694788199
427.3273273273,0.9560677301
428.0280280280,0.745948456
428.7287287287,0.5598996787
429.4294294294,0.4186628533
430.1301301301,0.1227350568
430.8308308308,0.3276345921
431.5315315315,0.0217310682
432.2322322322,0.6907762044
432.9329329329,0.8864402002
433.6336336336,0.5860610984
434.3343343343,0.3050339499
435.0350350350,0.0175062706
435.7357357357,0.2967214632
436.4364364364,0.5817717663
437.1371371371,0.6524490799
437.8378378378,0.5828134314
438.5385385385,0.6342527314
439.2392392392,0.1309344499
439.9399399399,0.2124833251
440.6406406406,0.7494299576
441.3413413413,0.1668413424
442.0420420420,0.5484770901
442.7427427427,0.4723790705
443.4434434434,0.5747627542
444.1441441441,0.7170226224
444.8448448448,0.577287753
445.5455455455,0.0310828645
446.2462462462,0.6461744627
446.9469469469,0.4949647428
447.6476476476,0.1013115636
448.3483483483,0.596738516
449.0490490490,0.4532094698
449.7497497497,0.1235717898
450.4504504505,0.7173469035
451.1511511512,0.0073768402
451.8518518519,0.4437103104
452.5525525526,0.5803411298
453.2532532533,0.6932024148
453.953953954,0.7117860572
454.6546546547,0.7218989673
455.3553553554,0.7831608646
456.0560560561,0.7903306731
456.7567567568,0.9445483395
457.4574574575,0.3734511944
458.1581581582,0.6244426769
458.8588588589,0.6103945886
459.5595595596,0.8362066959
460.2602602603,0.6205651249
460.960960961,0.6551950031
461.6616616617,0.5670022154
462.3623623624,0.3635531643
463.0630630631,0.1907056426
463.7637637638,0.2251320477
464.4644644645,0.2075857366
465.1651651652,0.6089679776
465.8658658659,0.7815980895
466.5665665666,0.165953204
467.2672672673,0.0779319654
467.967967968,0.9151950887
468.6686686687,0.3265974929
469.3693693694,0.3718513709
470.0700700701,0.6984751576
470.7707707708,0.3032702574
471.4714714715,0.4965198127
472.1721721722,0.0750303094
472.8728728729,0.5795061876
473.5735735736,0.2789362708
474.2742742743,0.7620092718
474.974974975,0.8172175526
475.6756756757,0.9304672075
476.3763763764,0.2855267814
477.0770770771,0.0571620485
477.7777777778,0.7157900242
478.4784784785,0.4443641862
479.1791791792,0.9596385128
479.8798798799,0.0690168232
480.5805805806,0.2069712365
481.2812812813,0.259966727
481.981981982,0.1430082344
482.6826826827,0.6690549709
483.3833833834,0.1279035555
484.0840840841,0.8172370859
484.7847847848,0.9599598734
485.4854854855,0.4649118388
486.1861861862,0.5318316343
486.8868868869,0.0809664833
487.5875875876,0.4888447783
488.2882882883,0.9150583894
488.988988989,0.219366725
489.6896896897,0.5528565131
490.3903903904,0.5026865859
491.0910910911,0.1152805721
491.7917917918,0.7443699970
492.4924924925,0.4212004871
493.1931931932,0.8439223906
493.8938938939,0.8809023406
494.5945945946,0.4851092168
495.2952952953,0.1082377381
495.995995996,0.721267964
496.6966966967,0.8241214104
497.3973973974,0.4700120176
498.0980980981,0.9201786227
498.7987987988,0.6248280945
499.4994994995,0.2325885819
500.2002002002,0.9934005106
500.9009009009,0.9789399863
501.6016016016,0.5784159417
502.3023023023,0.7023799420
503.0030030030,0.4456412426
503.7037037037,0.137476864
504.4044044044,0.0815468414
505.1051051051,0.9920271019
505.8058058058,0.2568415610
506.5065065065,0.4851906737
507.2072072072,0.8179152386
507.9079079079,0.3885475419
508.6086086086,0.1946841663
509.3093093093,0.3154053534
510.0100100100,0.9818580615
510.7107107107,0.2542492340
511.4114114114,0.1400829068
512.1121121121,0.2943647502
512.8128128128,0.4116470822
513.5135135135,0.4912271207
514.2142142142,0.8001323368
514.9149149149,0.4977657801
515.6156156156,0.4903462202
516.3163163163,0.8485580383
517.0170170170,0.4986829683
517.7177177177,0.6327877121
518.4184184184,0.2892319878
519.1191191191,0.7494798491
519.8198198198,0.4823792468
520.5205205205,0.8150578979
521.2212212212,0.6682000386
521.9219219219,0.0878902747
522.6226226226,0.0248419851
523.3233233233,0.2138108613
524.0240240240,0.0053595263
524.7247247247,0.6972862500
525.4254254254,0.9633863731
526.1261261261,0.8861063686
526.8268268268,0.8063966388
527.5275275275,0.6685657791
528.2282282282,0.7652071503
528.9289289289,0.4944154733
529.6296296296,0.3225206701
530.3303303303,0.7348009782
531.0310310310,0.2028807459
531.7317317317,0.0551340840
532.4324324324,0.5790215859
533.1331331331,0.9513108698
533.8338338338,0.0906805086
534.5345345345,0.4486838846
535.2352352352,0.5639509278
535.9359359359,0.4534980683
536.6366366366,0.8691349801
537.3373373373,0.029153913
538.0380380380,0.4074792080
538.7387387387,0.5738713058
539.4394394394,0.5187618804
540.1401401401,0.7127742647
540.8408408408,0.2758801018
541.5415415415,0.9311241436
542.2422422422,0.5129852206
542.9429429429,0.8761934720
543.6436436436,0.2975665750
544.3443443443,0.0759552536
545.0450450450,0.5717185808
545.7457457457,0.4030592700
546.4464464464,0.6727644819
547.1471471471,0.6610181689
